Train No,소요산,동두천,보산,동두천중앙,지행,덕정,덕계,양주,녹양,가능,의정부,회룡,망월사,도봉산,도봉,방학,창동,녹천,월계,광운대,석계,신이문,외대앞,회기,청량리,제기동,신설동,동묘앞,동대문,종로5가,종로3가,종각,시청,서울,남영,용산,노량진,대방,신길,영등포,신도림,구로,구일,개봉,오류동,온수,역곡,소사,부천,중동,송내,부개,부평,백운,동암,간석,주안,도화,제물포,도원,동인천,인천,가산디지털단지,독산,금천구청,석수,관악,안양,명학,금정,군포,당정,의왕,성균관대,화서,수원,세류,병점,세마,오산대,오산,진위,송탄,서정리,지제,평택,성환,직산,두정,천안,봉명,쌍용,아산,배방,온양온천,신창,광명,서동탄
K982,18:24:00,18:20:30,18:18:00,18:15:30,18:13:30,18:08:30,18:05:00,17:59:30,17:57:00,17:55:00,17:52:30,17:49:30,17:47:00,17:44:00,17:42:00,17:40:00,17:37:30,17:35:30,17:33:00,17:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K98,15:50:30,15:47:00,15:44:30,15:42:00,15:40:00,15:35:00,15:31:30,15:26:00,15:23:30,15:21:30,15:19:00,15:16:00,15:13:30,15:10:30,15:08:30,15:06:30,15:04:00,15:02:00,14:59:30,14:57:00,14:54:30,14:52:00,14:50:00,14:48:00,14:45:30,14:43:30,14:41:30,14:39:30,14:37:30,14:35:30,14:33:30,14:31:30,14:29:00,14:26:30,14:23:30,14:21:00,14:17:30,14:15:00,14:13:00,14:11:00,14:08:30,14:06:30,14:04:00,14:02:00,13:59:30,13:56:30,13:54:30,13:52:00,13:50:00,13:47:30,13:45:30,13:43:30,13:41:00,13:38:30,13:36:00,13:33:30,13:31:30,13:29:30,13:27:30,13:25:30,13:23:30,13:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K976,12:21:00,12:17:30,12:15:00,12:12:30,12:10:30,12:05:30,12:02:00,11:56:30,11:54:00,11:52:00,11:49:30,11:46:30,11:44:00,11:41:00,11:39:00,11:37:00,11:34:30,11:32:30,11:30:00,11:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K974,10:54:00,10:50:30,10:48:00,10:45:30,10:43:30,10:38:30,10:35:00,10:29:30,10:27:00,10:25:00,10:22:30,10:19:30,10:17:00,10:14:00,10:12:00,10:10:00,10:07:30,10:05:30,10:03:00,10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K962,6:51:00,6:47:30,6:45:00,6:42:30,6:40:30,6:35:30,6:32:00,6:26:30,6:24:00,6:22:00,6:19:30,6:16:30,6:14:00,6:11:00,6:09:00,6:07:00,6:04:30,6:02:30,6:00:00,5:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K958,6:29:00,6:25:30,6:23:00,6:20:30,6:18:30,6:13:30,6:10:00,6:04:30,6:02:00,6:00:00,5:57:30,5:54:30,5:52:00,5:49:00,5:47:00,5:45:00,5:42:30,5:40:30,5:38:00,5:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K952,5:56:00,5:52:30,5:50:00,5:47:30,5:45:30,5:40:30,5:37:00,5:31:30,5:29:00,5:27:00,5:24:30,5:21:30,5:19:00,5:16:00,5:14:00,5:12:00,5:09:30,5:07:30,5:05:00,5:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K92,15:25:30,15:22:00,15:19:30,15:17:00,15:15:00,15:10:00,15:06:30,15:01:00,14:58:30,14:56:30,14:54:00,14:51:00,14:48:30,14:45:30,14:43:30,14:41:30,14:39:00,14:37:00,14:34:30,14:32:00,14:29:30,14:27:00,14:25:00,14:23:00,14:20:30,14:18:30,14:16:30,14:14:30,14:12:30,14:10:30,14:08:30,14:06:30,14:04:00,14:01:30,13:58:30,13:56:00,13:52:30,13:50:00,13:48:00,13:46:00,13:43:30,13:41:30,13:39:00,13:37:00,13:34:30,13:31:30,13:29:30,13:27:00,13:25:00,13:22:30,13:20:30,13:18:30,13:16:00,13:13:30,13:11:00,13:08:30,13:06:30,13:04:30,13:02:30,13:00:30,12:58:30,12:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K86,14:51:30,14:48:00,14:45:30,14:43:00,14:41:00,14:36:00,14:32:30,14:27:00,14:24:30,14:22:30,14:20:00,14:17:00,14:14:30,14:11:30,14:09:30,14:07:30,14:05:00,14:03:00,14:00:30,13:58:00,13:55:30,13:53:00,13:51:00,13:49:00,13:46:30,13:44:30,13:42:30,13:40:30,13:38:30,13:36:30,13:34:30,13:32:30,13:30:00,13:27:30,13:24:30,13:22:00,13:18:30,13:16:00,13:14:00,13:12:00,13:09:30,13:07:30,13:05:00,13:03:00,13:00:30,12:57:30,12:55:30,12:53:00,12:51:00,12:48:30,12:46:30,12:44:30,12:42:00,12:39:30,12:37:00,12:34:30,12:32:30,12:30:30,12:28:30,12:26:30,12:24:30,12:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K832,22:08:30,22:05:00,22:02:30,22:00:00,21:58:00,21:53:00,21:49:30,21:44:00,21:41:30,21:39:30,21:37:00,21:34:00,21:31:30,21:28:30,21:26:30,21:24:30,21:22:00,21:20:00,21:17:30,21:15:00,21:12:30,21:10:00,21:08:00,21:06:00,21:03:30,21:01:30,20:59:30,20:57:30,20:55:30,20:53:30,20:51:30,20:49:30,20:47:00,20:44:30,20:41:30,20:39:00,20:35:30,20:33:00,20:31:00,20:29:00,20:26:30,20:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K818,18:42:30,18:39:00,18:36:30,18:34:00,18:32:00,18:27:00,18:23:30,18:18:00,18:15:30,18:13:30,18:11:00,18:08:00,18:05:30,18:02:30,18:00:30,17:58:30,17:56:00,17:54:00,17:51:30,17:49:00,17:46:30,17:44:00,17:42:00,17:40:00,17:37:30,17:35:30,17:33:30,17:31:30,17:29:30,17:27:30,17:25:30,17:23:30,17:21:00,17:18:30,17:15:30,17:13:00,17:09:30,17:07:00,17:05:00,17:03:00,17:00:30,16:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
