Train No,응암,역촌,불광,독바위,연신내,구산,새절,증산,디지털미디어시티,월드컵경기장,마포구청,망원,합정,상수,광흥창,대흥,공덕,효창공원앞,삼각지,녹사평,이태원,한강진,버티고개,약수,청구,신당,동묘앞,창신,보문,안암,고려대,월곡,상월곡,돌곶이,석계,태릉입구,화랑대,봉화산,
6308,21:52:00,,,,,,21:50:10,21:48:30,21:46:20,21:44:40,21:43:00,21:41:10,21:39:10,21:37:40,21:36:00,21:34:00,21:32:00,21:30:10,21:28:00,21:26:00,21:24:20,21:22:30,21:20:40,21:18:50,21:17:10,21:15:30,21:14:00,21:12:10,21:10:30,21:08:50,21:07:10,21:05:00,21:03:20,21:01:50,20:59:50,20:58:10,20:56:20,20:55:00,
6306,21:43:30,,,,,,21:41:50,21:40:10,21:38:10,21:36:20,21:34:40,21:32:50,21:30:50,21:29:20,21:27:40,21:25:40,21:23:40,21:21:50,21:19:40,21:17:40,21:16:00,21:14:10,21:12:20,21:10:30,21:08:50,21:07:10,21:05:40,21:03:50,21:02:10,21:00:30,20:58:50,20:56:40,20:55:00,20:53:30,20:51:20,20:49:40,20:47:50,20:46:00,
6304,21:36:00,,,,,,21:34:10,21:32:30,21:30:20,21:28:40,21:27:00,21:25:10,21:23:10,21:21:40,21:20:00,21:18:00,21:16:00,21:14:10,21:12:00,21:10:00,21:08:20,21:06:30,21:04:40,21:02:50,21:01:10,20:59:30,20:58:00,20:56:10,20:54:30,20:52:50,20:51:10,20:49:00,20:47:20,20:45:50,20:43:50,20:42:10,20:40:20,20:39:00,
6302,21:28:00,,,,,,21:26:10,21:24:30,21:22:20,21:20:40,21:19:00,21:17:10,21:15:10,21:13:40,21:12:00,21:10:00,21:08:00,21:06:10,21:04:00,21:02:00,21:00:20,20:58:30,20:56:40,20:54:50,20:53:10,20:51:30,20:50:00,20:48:10,20:46:30,20:44:50,20:43:10,20:41:00,20:39:20,20:37:50,20:35:50,20:34:10,20:32:20,20:31:00,
6300,21:20:00,,,,,,21:18:20,21:16:40,21:14:40,21:12:50,21:11:10,21:09:20,21:07:20,21:05:50,21:04:10,21:02:10,21:00:10,20:58:20,20:56:10,20:54:10,20:52:30,20:50:40,20:48:50,20:47:00,20:45:20,20:43:40,20:42:10,20:40:20,20:38:40,20:37:00,20:35:20,20:33:10,20:31:30,20:30:00,20:27:50,20:26:10,20:24:20,20:22:30,
6298,21:12:00,,,,,,21:10:10,21:08:30,21:06:20,21:04:40,21:03:00,21:01:10,20:59:10,20:57:40,20:56:00,20:54:00,20:52:00,20:50:10,20:48:00,20:46:00,20:44:20,20:42:30,20:40:40,20:38:50,20:37:10,20:35:30,20:34:00,20:32:10,20:30:30,20:28:50,20:27:10,20:25:00,20:23:20,20:21:50,20:19:50,20:18:10,20:16:20,20:15:00,
6296,21:04:00,,,,,,21:02:20,21:00:40,20:58:40,20:56:50,20:55:10,20:53:20,20:51:20,20:49:50,20:48:10,20:46:10,20:44:10,20:42:20,20:40:10,20:38:10,20:36:30,20:34:40,20:32:50,20:31:00,20:29:20,20:27:40,20:26:10,20:24:20,20:22:40,20:21:00,20:19:20,20:17:10,20:15:30,20:14:00,20:11:50,20:10:10,20:08:20,20:06:30,
6294,20:56:00,,,,,,20:54:10,20:52:30,20:50:20,20:48:40,20:47:00,20:45:10,20:43:10,20:41:40,20:40:00,20:38:00,20:36:00,20:34:10,20:32:00,20:30:00,20:28:20,20:26:30,20:24:40,20:22:50,20:21:10,20:19:30,20:18:00,20:16:10,20:14:30,20:12:50,20:11:10,20:09:00,20:07:20,20:05:50,20:03:50,20:02:10,20:00:20,19:59:00,
6292,20:49:00,,,,,,20:47:10,20:45:30,20:43:20,20:41:40,20:40:00,20:38:10,20:36:10,20:34:40,20:33:00,20:31:00,20:29:00,20:27:10,20:25:00,20:23:00,20:21:20,20:19:30,20:17:40,20:15:50,20:14:10,20:12:30,20:11:00,20:09:10,20:07:30,20:05:50,20:04:10,20:02:00,20:00:20,19:58:50,19:56:50,19:55:10,19:53:20,19:52:00,
6290,20:42:00,,,,,,20:40:20,20:38:40,20:36:40,20:34:50,20:33:10,20:31:20,20:29:20,20:27:50,20:26:10,20:24:10,20:22:10,20:20:20,20:18:10,20:16:10,20:14:30,20:12:40,20:10:50,20:09:00,20:07:20,20:05:40,20:04:10,20:02:20,20:00:40,19:59:00,19:57:20,19:55:10,19:53:30,19:52:00,19:49:50,19:48:10,19:46:20,19:44:30,
