Train No,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란,
8003,05:30:00,05:31:30,05:33:40,05:36:10,05:37:50,05:40:20,05:42:10,05:43:50,05:45:40,05:47:10,05:48:40,05:52:20,05:55:00,05:56:40,05:58:20,05:59:50,06:01:40,
8005,05:40:00,05:41:30,05:43:40,05:46:10,05:47:50,05:50:20,05:52:00,05:53:40,05:55:30,05:57:00,05:58:30,06:02:10,06:04:50,06:06:30,06:08:10,06:09:40,06:11:30,
8007,05:50:00,05:51:30,05:53:40,05:56:10,05:57:50,06:00:20,06:02:00,06:03:40,06:05:30,06:07:00,06:08:30,06:12:10,06:14:50,06:16:30,06:18:10,06:19:40,06:21:30,
8009,06:00:00,06:01:30,06:03:40,06:06:10,06:07:50,06:10:20,06:12:00,06:13:40,06:15:30,06:17:00,06:18:30,06:22:10,06:24:50,06:26:30,06:28:10,06:29:40,06:31:30,
8011,06:10:00,06:11:30,06:13:40,06:16:10,06:17:50,06:20:20,06:22:00,06:23:40,06:25:30,06:27:00,06:28:30,06:32:10,06:34:50,06:36:30,06:38:10,06:39:40,06:41:30,
8013,06:20:00,06:21:30,06:23:40,06:26:10,06:27:50,06:30:20,06:32:00,06:33:40,06:35:30,06:37:00,06:38:30,06:42:10,06:44:50,06:46:30,06:48:10,06:49:40,06:51:30,
8015,06:29:00,06:30:30,06:32:40,06:35:10,06:36:50,06:39:20,06:41:00,06:42:40,06:44:30,06:46:00,06:47:30,06:51:10,06:53:50,06:55:30,06:57:10,06:58:40,07:00:30,
8017,06:38:00,06:39:30,06:41:40,06:44:10,06:45:50,06:48:20,06:50:00,06:51:40,06:53:30,06:55:00,06:56:30,07:00:10,07:02:50,07:04:30,07:06:10,07:07:40,07:09:30,
8019,06:47:00,06:48:30,06:50:40,06:53:10,06:54:50,06:57:20,06:59:00,07:00:40,07:02:30,07:04:00,07:05:30,07:09:10,07:11:50,07:13:30,07:15:10,07:16:40,07:18:30,
8021,06:55:00,06:56:30,06:58:40,07:01:10,07:02:50,07:05:20,07:07:00,07:08:40,07:10:30,07:12:00,07:13:30,07:17:10,07:19:50,07:21:30,07:23:10,07:24:40,07:26:30,
8023,07:03:00,07:04:30,07:06:40,07:09:10,07:10:50,07:13:20,07:15:00,07:16:40,07:18:30,07:20:00,07:21:30,07:25:10,07:27:50,07:29:30,07:31:10,07:32:40,07:34:30,
8025,07:11:00,07:12:30,07:14:40,07:17:10,07:18:50,07:21:20,07:23:00,07:24:40,07:26:30,07:28:00,07:29:30,07:33:10,07:35:50,07:37:30,07:39:10,07:40:40,07:42:30,
8027,07:19:00,07:20:30,07:22:40,07:25:10,07:26:50,07:29:20,07:31:00,07:32:40,07:34:30,07:36:00,07:37:30,07:41:10,07:43:50,07:45:30,07:47:10,07:48:40,07:50:30,
8029,07:27:00,07:28:30,07:30:40,07:33:10,07:34:50,07:37:20,07:39:00,07:40:40,07:42:30,07:44:00,07:45:30,07:49:10,07:51:50,07:53:30,07:55:10,07:56:40,07:58:30,
8031,07:35:00,07:36:30,07:38:40,07:41:10,07:42:50,07:45:20,07:47:00,07:48:40,07:50:30,07:52:00,07:53:30,07:57:10,07:59:50,08:01:30,08:03:10,08:04:40,08:06:30,
8033,07:43:00,07:44:30,07:46:40,07:49:10,07:50:50,07:53:20,07:55:00,07:56:40,07:58:30,08:00:00,08:01:30,08:05:10,08:07:50,08:09:30,08:11:10,08:12:40,08:14:30,
8035,07:51:00,07:52:30,07:54:40,07:57:10,07:58:50,08:01:20,08:03:00,08:04:40,08:06:30,08:08:00,08:09:30,08:13:10,08:15:50,08:17:30,08:19:10,08:20:40,08:22:30,
8037,07:59:00,08:00:30,08:02:40,08:05:10,08:06:50,08:09:20,08:11:00,08:12:40,08:14:30,08:16:00,08:17:30,08:21:10,08:23:50,08:25:30,08:27:10,08:28:40,08:30:30,
8039,08:07:00,08:08:30,08:10:40,08:13:10,08:14:50,08:17:20,08:19:00,08:20:40,08:22:30,08:24:00,08:25:30,08:29:10,08:31:50,08:33:30,08:35:10,08:36:40,08:38:30,
8041,08:15:00,08:16:30,08:18:40,08:21:10,08:22:50,08:25:20,08:27:00,08:28:40,08:30:30,08:32:00,08:33:30,08:37:10,08:39:50,08:41:30,08:43:10,08:44:40,08:46:30,
8043,08:23:00,08:24:30,08:26:40,08:29:10,08:30:50,08:33:20,08:35:00,08:36:40,08:38:30,08:40:00,08:41:30,08:45:10,08:47:50,08:49:30,08:51:10,08:52:40,08:54:30,
8045,08:31:00,08:32:30,08:34:40,08:37:10,08:38:50,08:41:20,08:43:00,08:44:40,08:46:30,08:48:00,08:49:30,08:53:10,08:55:50,08:57:30,08:59:10,09:00:40,09:02:30,
8047,08:39:00,08:40:30,08:42:40,08:45:10,08:46:50,08:49:20,08:51:00,08:52:40,08:54:30,08:56:00,08:57:30,09:01:10,09:03:50,09:05:30,09:07:10,09:08:40,09:10:30,
8049,08:47:00,08:48:30,08:50:40,08:53:10,08:54:50,08:57:20,08:59:00,09:00:40,09:02:30,09:04:00,09:05:30,09:09:10,09:11:50,09:13:30,09:15:10,09:16:40,09:18:30,
8051,08:55:00,08:56:30,08:58:40,09:01:10,09:02:50,09:05:20,09:07:00,09:08:40,09:10:30,09:12:00,09:13:30,09:17:10,09:19:50,09:21:30,09:23:10,09:24:40,09:26:30,
8053,09:03:00,09:04:30,09:06:40,09:09:10,09:10:50,09:13:20,09:15:00,09:16:40,09:18:30,09:20:00,09:21:30,09:25:10,09:27:50,09:29:30,09:31:10,09:32:40,09:34:30,
