Train No,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,
C9009,6:35:35,6:33:35,6:31:35,6:29:40,6:27:25,6:24:40,6:22:10,6:20:05,6:18:00,6:15:55,6:13:50,6:11:30,6:09:15,6:06:40,6:04:45,6:02:50,6:00:25,5:58:15,5:56:10,5:53:35,5:51:20,5:49:30,5:47:45,5:45:30,5:43:15,5:40:55,5:39:00,5:37:00,5:35:05,5:32:45
C9011,6:52:55,6:50:55,6:48:55,6:47:00,6:44:45,6:42:00,6:39:30,6:35:15,6:33:20,6:31:15,6:29:10,6:26:50,6:24:30,6:21:55,6:20:00,6:18:05,6:15:40,6:13:30,6:11:25,6:08:50,6:06:35,6:04:45,6:03:00,6:00:45,5:58:30,5:56:10,5:54:15,5:52:15,5:50:20,5:48:00
C9013,7:08:05,7:06:05,7:04:05,7:02:10,6:59:55,6:57:10,6:54:40,6:50:25,6:48:20,6:46:15,6:44:10,6:41:50,6:39:35,6:37:00,6:35:05,6:33:10,6:30:45,6:28:35,6:26:30,6:23:55,6:21:40,6:19:50,6:18:05,6:15:50,6:11:30,6:09:10,6:07:15,6:05:15,6:03:20,6:01:00
E9501,,6:42:35,,,,,6:38:35,,,6:34:45,,,6:30:35,,6:27:05,,6:24:05,,,6:19:35,,,6:16:10,,6:13:05,,6:10:15,,6:07:40,6:05:15
C9015,7:22:05,7:19:05,7:17:05,7:15:10,7:12:55,7:10:10,7:07:40,7:03:25,7:01:20,6:59:15,6:57:10,6:54:50,6:52:35,6:50:00,6:48:05,6:46:10,6:43:45,6:41:35,6:39:30,6:36:55,6:34:40,6:32:50,6:31:05,6:28:50,6:24:30,6:22:10,6:20:15,6:18:15,6:16:20,6:14:00
E9503,,6:57:45,,,,,6:53:45,,,6:49:45,,,6:45:25,,6:41:35,,6:38:15,,,6:33:15,,,6:29:20,,6:26:05,,6:23:15,,6:20:40,6:18:15
C9017,7:34:05,7:32:05,7:30:05,7:28:10,7:25:55,7:23:10,7:20:40,7:16:25,7:14:20,7:12:15,7:10:10,7:07:50,7:05:35,7:03:00,7:01:05,6:59:10,6:56:45,6:54:35,6:52:30,6:49:55,6:47:40,6:45:50,6:44:05,6:41:50,6:37:30,6:35:10,6:33:15,6:31:15,6:29:20,6:27:00
E9505,,7:10:45,,,,,7:06:45,,,7:02:45,,,6:58:25,,6:54:35,,6:51:15,,,6:46:15,,,6:42:20,,6:39:05,,6:36:15,,6:33:40,6:31:15
C9019,7:46:05,7:44:05,7:42:05,7:40:10,7:37:55,7:35:10,7:32:40,7:28:25,7:26:20,7:24:15,7:22:10,7:19:50,7:17:35,7:15:00,7:13:05,7:11:10,7:08:45,7:06:35,7:04:30,7:01:55,6:59:40,6:57:50,6:56:05,6:53:50,6:49:30,6:47:10,6:45:15,6:43:15,6:41:20,6:39:00
E9507,,7:23:45,,,,,7:19:45,,,7:15:45,,,7:11:20,,7:07:20,,7:03:50,,,6:58:35,,,6:54:25,,6:51:05,,6:48:15,,6:45:40,6:43:15
