   구간별 시간대별 혼잡도(토요일) - 하선(외선),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : %)
호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
1호선,서울역,하선,14,15,15,22,27,30,33,44,49,51,48,59,54,49,39,30,36,35,23,5
,시청,하선,21,20,18,27,33,34,36,49,53,58,54,66,63,51,45,34,41,36,25,6
,종각,하선,29,24,22,35,42,45,48,64,69,72,65,78,76,59,48,36,44,40,31,6
,종로3가,하선,29,26,23,38,47,49,51,68,73,74,65,78,75,60,41,29,32,29,22,6
,종로5가,하선,29,29,27,50,55,56,58,73,80,77,68,81,75,60,38,29,30,27,18,0
,동대문,하선,29,30,28,54,58,58,56,78,78,74,64,75,68,55,34,25,28,26,14,0
,동묘앞,하선,25,29,27,53,61,55,57,71,73,69,60,70,65,50,29,22,25,22,11,0
,신설동,하선,42,31,31,51,56,54,59,67,69,65,56,65,61,47,28,21,23,19,12,0
,제기동,하선,41,31,31,51,55,56,54,65,66,62,54,62,57,42,25,20,22,18,11,0
,청량리(지하),하선,40,30,31,56,56,49,56,63,62,56,50,51,50,39,23,20,21,18,11,0
2호선,시청,외선,13,13,13,18,27,34,38,50,54,61,57,54,58,59,52,59,54,57,60,0
,을지입구,외선,9,10,10,14,21,26,27,38,40,46,40,38,43,44,37,44,40,42,44,0
,을지3가,외선,12,11,12,18,27,31,33,43,42,48,40,36,40,38,30,30,27,30,30,0
,을지4가,외선,11,9,10,15,21,23,23,31,28,32,28,23,26,25,19,19,17,20,22,0
,동대문역사문화공원,외선,9,7,8,14,17,18,18,24,22,24,21,17,19,19,14,15,13,15,18,0
,신당,외선,18,13,16,28,35,38,36,49,47,53,43,38,41,39,31,33,32,36,34,0
,상왕십리,외선,17,13,17,29,36,39,38,50,48,54,44,40,42,41,33,34,33,39,38,0
,왕십리,외선,16,13,16,29,35,37,37,48,48,52,44,39,41,41,33,34,34,39,39,0
,한양대,외선,14,12,15,26,32,35,34,46,44,48,42,37,39,38,33,34,33,38,39,0
,뚝섬,외선,11,14,14,29,34,35,35,45,45,47,41,36,38,37,32,33,33,37,40,0
,성수,외선,40,17,14,31,28,27,34,44,44,43,47,41,39,36,27,33,34,34,27,0
,건대입구,외선,35,19,17,37,29,32,34,45,49,43,48,45,38,38,32,32,37,35,26,0
,구의,외선,23,16,15,33,29,32,34,46,50,45,53,48,42,44,37,37,44,40,30,0
,강변,외선,19,13,14,29,26,31,33,45,49,43,50,49,43,45,39,38,45,42,31,0
,성내,외선,20,17,17,30,26,29,30,42,49,44,50,49,43,44,38,39,49,42,35,0
,잠실,외선,19,17,17,28,25,26,31,41,49,44,50,49,43,42,41,39,49,43,36,0
,신천,외선,21,25,19,28,28,31,36,44,54,52,60,58,50,47,44,40,54,54,50,0
,종합운동장,외선,17,24,19,26,28,30,35,42,53,52,61,58,51,49,45,45,55,54,52,0
,삼성,외선,17,27,22,28,29,31,35,44,57,56,64,59,51,50,46,41,52,55,54,0
,선릉,외선,34,33,26,42,38,45,47,52,69,61,70,63,56,51,42,39,44,51,49,0
,역삼,외선,63,40,34,57,56,64,64,70,92,81,86,82,69,60,55,49,54,66,66,0
,강남,외선,66,43,37,62,62,69,71,73,92,86,89,83,69,59,54,48,54,67,65,0
,교대,외선,73,47,40,72,79,79,80,79,101,94,91,84,70,64,56,47,49,55,58,0
,서초,외선,73,59,48,87,93,86,85,83,101,94,88,82,65,62,53,44,45,51,56,0
,방배,외선,74,60,50,89,94,88,86,83,100,94,87,79,66,59,50,43,44,50,57,0
,사당,외선,70,61,53,91,95,88,87,85,98,95,87,77,66,58,51,43,44,51,59,0
,낙성대,외선,73,64,53,91,93,81,84,80,90,86,80,71,65,57,50,43,44,55,62,0
,서울대입구,외선,69,62,50,87,88,78,80,76,86,84,77,67,64,55,49,44,45,61,60,0
,봉천,외선,78,54,49,80,86,69,74,70,79,79,71,62,60,52,44,43,43,63,57,0
,신림,외선,72,51,46,75,82,66,73,68,77,78,70,62,59,54,45,44,44,65,60,0
,신대방,외선,58,42,40,63,70,59,66,63,72,76,69,62,60,57,48,47,48,74,70,0
,구로디지털단지,외선,55,38,38,57,67,59,64,62,72,76,70,62,62,59,53,48,52,82,77,0
,대림,외선,46,35,36,55,64,58,63,62,74,78,72,64,66,65,60,53,58,98,98,0
,신도림,외선,36,29,30,48,50,49,61,61,71,76,71,61,68,61,53,58,54,68,64,0
,문래,외선,58,37,27,39,38,49,55,59,67,75,73,72,75,70,57,70,68,88,86,0
,영등포구청,외선,56,35,27,38,39,49,54,61,66,75,74,69,75,69,58,70,68,86,90,0
,당산,외선,51,31,25,31,34,43,49,54,60,66,68,64,69,65,55,67,66,85,93,0
,합정,외선,54,27,24,30,32,45,45,55,58,67,66,66,70,67,57,71,73,90,102,0
,홍대입구,외선,44,21,18,21,25,36,36,47,52,58,59,51,63,60,53,68,66,83,91,0
,신촌,외선,26,15,14,17,23,33,35,51,53,63,59,55,66,62,56,67,65,70,66,0
,이대입구,외선,17,14,14,18,26,34,36,52,54,64,58,55,65,62,54,62,58,60,59,0
,아현,외선,15,14,14,19,28,37,38,55,56,66,58,55,64,62,55,61,57,59,60,0
,충정로,외선,14,14,13,19,28,36,38,54,56,65,59,54,63,62,55,62,56,60,62,0
,성수(지선),외선,2,7,8,10,12,12,13,16,18,18,18,22,23,21,13,14,13,17,9,0
,용답,외선,2,7,8,11,13,13,13,16,19,18,16,20,20,18,11,12,11,13,7,0
,신답,외선,3,6,8,11,12,13,13,17,17,17,15,19,18,18,9,11,10,11,6,0
,용두,외선,3,5,7,9,12,12,12,15,16,17,14,17,17,15,9,9,8,10,5,0
,신설동,외선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,신도림(지선),외선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,도림천,외선,33,27,29,46,43,40,39,43,40,35,31,31,29,26,16,12,10,10,6,0
,양천구청,외선,34,27,29,45,44,40,38,42,39,35,31,31,29,26,16,12,10,10,5,0
,신정네거리,외선,28,22,23,38,36,32,32,35,32,28,25,25,26,20,14,11,8,9,5,0
,까치산,외선,16,14,17,26,25,23,22,26,24,21,18,20,20,15,11,9,6,7,4,0
3호선,지축,하선,38,18,29,42,46,41,41,48,42,47,43,44,45,32,27,16,13,15,7,0
,구파발,하선,4,14,19,36,34,34,31,30,29,29,27,27,28,26,15,11,11,10,6,0
,연신내,하선,11,19,24,47,41,43,40,35,37,34,31,31,31,24,17,12,13,10,9,0
,불광,하선,17,21,30,54,50,51,46,42,41,40,37,38,36,28,20,14,15,13,11,0
,녹번,하선,21,25,34,63,56,54,54,46,44,44,40,40,39,29,21,15,16,13,10,0
,홍제,하선,27,26,38,71,65,58,60,52,47,50,43,44,42,36,22,16,15,13,11,0
,무악재,하선,28,27,39,73,67,59,61,52,50,51,44,44,42,36,22,16,14,14,11,0
,독립문,하선,23,29,36,73,68,63,61,54,52,53,46,46,44,37,22,16,15,15,11,0
,경복궁,하선,25,29,37,72,72,65,67,61,57,62,54,55,55,43,27,20,19,18,13,0
,안국,하선,25,28,35,69,69,63,68,66,61,69,61,66,68,54,34,27,25,25,15,0
,종로3가,하선,28,27,32,66,67,60,68,65,65,74,69,75,76,65,43,35,34,35,22,0
,을지3가,하선,31,27,33,67,65,64,72,68,70,81,79,84,87,79,54,45,43,47,33,0
,충무로,하선,26,27,32,58,59,58,64,58,60,68,64,68,70,61,41,35,32,35,24,0
,동대입구,하선,26,26,30,53,54,53,59,56,58,66,62,66,69,62,43,36,33,37,24,0
,약수,하선,31,29,31,55,60,57,64,59,61,69,64,67,71,62,43,35,32,35,26,0
,금호,하선,33,30,31,55,63,56,63,59,61,69,64,67,70,61,42,34,31,33,25,0
,옥수,하선,33,31,32,57,65,58,65,60,62,70,64,67,70,60,42,34,30,32,23,0
,압구정,하선,12,30,28,45,49,49,59,57,60,71,66,71,73,65,45,39,33,36,25,0
,신사,하선,18,28,27,42,45,42,58,54,58,69,66,72,77,67,50,44,41,44,27,0
,잠원,하선,19,28,28,42,45,43,58,54,58,69,66,72,77,67,50,44,41,44,27,0
,고속터미널,하선,17,32,28,48,52,48,66,60,63,72,72,73,77,70,53,47,43,46,29,0
,교대,하선,24,35,30,51,51,45,58,52,53,59,60,61,61,58,42,37,36,39,26,0
,남부터미널,하선,21,27,23,41,41,33,44,40,41,46,47,49,51,47,35,33,32,37,24,0
,양재,하선,9,16,11,21,22,18,25,27,27,31,34,35,37,37,28,25,25,31,21,4
,매봉,하선,9,15,10,18,19,17,22,26,26,29,32,33,35,36,27,24,24,30,20,4
,도곡,하선,9,14,9,16,16,15,19,22,22,25,28,29,31,32,24,21,22,26,18,1
,대치,하선,10,12,7,13,13,13,16,19,20,22,25,26,29,29,22,20,21,24,16,1
,학여울,하선,10,12,7,13,12,11,15,18,19,21,24,26,28,29,22,20,21,24,15,1
,대청,하선,9,11,7,12,12,11,13,17,18,19,22,24,26,26,20,18,19,21,14,4
,일원,하선,8,10,5,10,10,9,12,16,16,17,20,23,24,24,19,17,17,19,13,3
,수서,하선,3,5,4,8,8,7,8,11,12,13,15,17,18,17,13,11,14,13,9,0
,가락시장,하선,0,2,2,5,4,4,4,6,6,6,7,9,13,9,7,8,10,12,13,0
,경찰병원,하선,0,2,2,4,4,3,3,5,5,5,6,7,10,7,5,6,7,8,7,0
,오금,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4호선,당고개,하선,4,2,4,6,5,4,4,4,4,5,4,4,3,3,2,2,2,2,2,0
,상계,하선,10,6,10,16,15,11,11,11,11,11,9,9,8,7,5,4,5,5,4,0
,노원,하선,13,9,15,26,25,19,20,21,21,21,18,20,18,16,12,12,13,16,15,0
,창동,하선,14,13,20,35,34,26,28,28,29,28,24,24,23,22,15,14,16,18,17,0
,쌍문,하선,21,18,29,47,47,35,36,35,36,35,29,28,27,24,16,15,17,18,16,0
,수유,하선,30,22,36,59,59,44,46,43,45,40,39,34,33,28,18,17,17,20,17,0
,미아,하선,34,25,39,64,63,47,49,45,48,44,42,38,36,30,20,18,18,21,17,0
,미아사거리,하선,43,29,44,71,70,53,54,52,55,50,48,43,40,33,22,21,19,22,17,0
,길음,하선,47,31,48,77,77,59,59,56,60,55,52,47,45,35,24,22,20,24,17,0
,성신여대,하선,54,33,49,80,82,62,65,61,65,60,58,50,50,40,26,24,24,26,20,0
,한성대입구,하선,44,34,51,83,84,65,68,64,69,63,64,53,52,43,28,23,25,28,21,0
,혜화,하선,50,35,49,80,85,66,70,67,74,68,70,64,67,57,41,38,50,54,37,0
,동대문,하선,51,33,45,72,79,63,68,66,73,70,72,65,68,57,40,36,49,51,40,0
,동대문역사문화공원,하선,40,28,37,60,72,56,62,59,66,65,69,61,64,51,36,34,44,46,35,0
,충무로,하선,35,22,26,41,56,46,53,52,59,60,66,58,61,51,36,32,38,39,30,0
,명동,하선,34,21,24,36,49,39,44,42,50,50,56,51,56,50,37,35,45,48,34,0
,회현,하선,34,18,21,29,39,32,37,39,47,49,55,54,59,53,40,38,47,49,34,0
,서울역,하선,29,15,16,25,33,29,34,36,44,41,50,49,55,47,38,35,43,44,38,0
,숙대입구,하선,32,15,15,24,32,29,33,36,44,41,50,49,54,46,37,33,42,44,37,0
,삼각지,하선,40,17,16,25,34,31,32,34,43,41,51,49,56,49,38,33,44,45,38,0
,신용산,하선,40,16,15,23,32,29,31,33,41,39,51,49,56,50,39,34,44,45,38,0
,이촌,하선,41,15,15,23,31,29,30,33,40,39,51,50,58,50,39,35,42,46,39,0
,동작,하선,0,19,16,23,33,31,32,35,41,41,55,50,60,52,43,38,41,48,40,0
,총신대입구,하선,0,21,17,25,35,34,34,37,41,41,52,50,57,51,42,36,39,46,38,0
,사당,하선,22,17,15,28,34,39,32,36,36,41,48,45,51,46,41,36,40,45,37,9
,남태령,하선,22,34,30,44,57,78,59,72,66,82,87,90,102,99,82,71,63,80,45,24
,,,,,,,,,,,,,,,,,,,,,,
