호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
1호선,서울역,하선,9,10,8,13,21,22,24,30,35,39,42,53,47,43,37,28,29,25,15,3
,시청,하선,13,12,10,15,24,25,27,34,40,47,48,62,57,45,42,31,32,24,15,3
,종각,하선,18,14,12,20,30,34,36,44,51,59,58,73,66,50,46,33,35,26,17,4
,종로3가,하선,16,15,13,22,33,36,39,47,54,60,57,70,62,47,36,25,25,20,14,4
,종로5가,하선,15,16,15,29,38,41,44,51,61,65,61,72,63,48,34,25,24,20,12,0
,동대문,하선,15,17,15,29,38,41,42,55,61,65,60,70,60,46,32,23,23,20,9,0
,동묘앞,하선,14,16,15,27,40,39,43,51,59,62,56,65,58,43,30,21,22,17,8,0
,신설동,하선,24,17,16,26,36,40,44,49,56,58,51,59,53,40,30,20,21,15,8,0
,제기동,하선,24,17,16,26,36,42,41,48,55,56,49,57,51,38,27,20,21,15,8,0
,청량리(지하),하선,23,17,15,28,38,37,43,47,53,51,44,48,45,36,26,20,19,15,8,0
2호선,시청,외선,8,8,7,10,18,26,27,33,37,45,44,45,45,45,39,48,43,39,38,0
,을지입구,외선,5,6,5,8,14,20,20,27,27,35,31,30,31,32,28,35,31,28,28,0
,을지3가,외선,6,7,6,11,19,25,24,31,30,37,31,28,28,25,21,22,19,19,19,0
,을지4가,외선,5,5,5,8,15,18,19,22,22,25,22,17,18,15,13,14,12,12,13,0
,동대문역사문화공원,외선,4,4,4,6,10,14,14,16,17,19,17,13,13,12,10,11,10,10,11,0
,신당,외선,11,8,9,14,23,29,29,35,38,42,34,28,27,25,24,25,27,23,22,0
,상왕십리,외선,11,8,9,14,23,30,30,37,40,44,34,30,27,26,25,27,30,25,26,0
,왕십리,외선,10,8,8,14,22,30,29,35,40,42,34,28,26,26,25,27,30,26,26,0
,한양대,외선,9,8,8,14,21,27,26,33,37,39,33,27,25,24,25,27,29,26,26,0
,뚝섬,외선,7,8,8,15,21,27,26,34,38,37,32,26,24,24,25,27,29,25,26,0
,성수,외선,26,11,8,17,17,21,26,33,37,34,37,30,25,24,21,27,31,23,18,0
,건대입구,외선,24,12,9,18,18,25,25,34,41,35,39,33,26,25,25,27,32,26,19,0
,구의,외선,16,10,9,19,19,25,26,34,41,36,40,35,27,29,27,30,38,30,24,0
,강변,외선,13,9,9,17,17,24,24,33,40,36,38,36,28,30,29,30,40,32,24,0
,성내,외선,14,12,10,18,17,22,22,33,40,36,39,37,29,30,28,28,34,28,22,0
,잠실,외선,14,11,10,17,17,20,23,31,41,36,38,37,29,29,30,29,35,29,23,0
,신천,외선,15,15,12,19,21,25,30,35,45,39,42,37,31,32,33,30,40,36,31,0
,종합운동장,외선,13,14,11,18,20,24,29,33,44,39,41,38,32,33,33,34,39,37,31,0
,삼성,외선,13,25,21,19,22,25,30,32,40,37,41,38,32,34,34,35,40,38,33,0
,선릉,외선,26,28,22,23,27,34,37,36,46,42,45,41,34,33,31,30,36,36,30,0
,역삼,외선,39,33,23,30,38,46,47,47,60,53,55,53,43,40,43,39,45,48,40,0
,강남,외선,39,34,23,33,40,49,50,50,60,56,56,53,43,40,43,40,45,49,38,0
,교대,외선,36,34,25,38,52,54,57,54,69,61,59,55,44,40,41,37,38,40,35,0
,서초,외선,34,40,26,45,59,59,60,58,71,64,60,56,43,41,42,37,35,37,34,0
,방배,외선,35,41,27,46,59,60,61,58,70,64,60,55,44,41,41,37,34,36,34,0
,사당,외선,36,41,28,48,60,60,62,59,69,66,61,53,43,42,43,37,35,37,35,0
,낙성대,외선,37,42,28,50,66,64,65,60,70,66,60,50,43,39,42,38,35,37,36,0
