호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
1호선,서울역,하선,10,16,30,37,22,23,23,29,33,33,41,47,52,82,51,36,40,46,29,5
,시청,하선,13,18,35,46,27,26,27,33,37,39,46,54,56,82,52,37,43,47,29,2
,종각,하선,16,24,55,74,41,36,36,42,47,48,55,63,66,87,54,38,44,50,34,3
,종로3가,하선,18,27,63,93,51,41,38,44,47,48,53,61,64,79,48,31,33,35,24,3
,종로5가,하선,22,31,74,110,57,48,44,50,52,54,59,66,67,81,44,31,32,34,24,2
,동대문,하선,22,31,82,118,61,50,43,52,51,51,56,61,62,69,38,26,29,30,20,1
,동묘앞,하선,20,30,77,118,57,50,44,51,46,48,53,58,60,64,37,23,27,24,19,0
,신설동,하선,29,38,79,109,56,48,42,45,45,46,50,53,62,59,34,22,24,24,18,0
,제기동,하선,29,37,80,113,58,46,39,44,44,44,47,50,57,49,30,20,22,21,18,0
,청량리(지하),하선,30,34,90,107,56,47,40,40,40,37,39,41,51,45,28,19,21,21,15,0
2호선,시청,외선,13,18,31,40,25,24,32,40,45,48,55,67,52,98,71,54,66,64,39,13
,을지입구,외선,9,14,27,35,21,19,25,30,34,35,40,48,37,70,51,42,49,47,29,9
,을지3가,외선,13,17,41,55,30,24,28,32,35,35,37,44,33,56,39,28,33,32,21,9
,을지4가,외선,11,14,33,44,24,18,21,24,25,24,25,30,22,34,24,17,20,19,13,7
,동대문역사문화공원,외선,9,11,27,37,20,15,18,19,21,20,20,22,18,25,17,14,15,15,11,4
,신당,외선,18,19,44,61,33,29,36,37,41,41,41,44,37,56,43,34,40,37,25,9
,상왕십리,외선,17,19,45,61,34,30,38,38,42,41,42,45,38,58,46,36,42,40,28,10
,왕십리,외선,15,18,40,62,33,29,38,37,41,40,42,45,38,57,45,38,41,40,28,11
,한양대,외선,15,17,39,52,30,27,35,34,38,40,41,44,37,59,46,38,41,39,26,11
