요일코드,호선,역번호,역명,구분,05:00 ~,06:00 ~,07:00 ~,08:00 ~,09:00 ~,10:00 ~,11:00 ~,12:00 ~,13:00 ~,14:00 ~,15:00 ~,16:00 ~,17:00 ~,18:00 ~,19:00 ~,20:00 ~,21:00 ~,22:00 ~,23:00 ~, 24:00~,
01,2호선,211,성수(2),U,11,15,23,45,30,26,28,38,39,40,43,46,40,64,50,37,49,47,33,25,
01,2호선,212,건대입구(2),U,11,22,31,66,42,30,33,39,42,42,45,45,41,51,42,34,44,45,30,26,
01,2호선,213,구의,U,14,23,33,70,45,29,34,36,40,40,43,43,39,48,38,30,40,40,27,22,
01,2호선,214,강변,U,19,22,39,81,51,31,35,38,40,35,43,41,37,45,36,27,34,36,24,20,
01,2호선,215,잠실나루,U,19,22,41,81,51,31,35,37,39,35,43,41,37,44,33,26,32,34,23,17,
01,2호선,216,잠실(2),U,22,24,60,113,68,43,41,42,47,40,46,44,46,52,37,30,37,35,17,12,
01,2호선,217,신천,U,24,26,64,120,70,43,42,41,46,40,45,42,45,50,34,28,35,34,17,11,
01,2호선,218,종합운동장,U,27,25,62,117,70,43,42,41,46,40,44,43,46,51,35,28,35,35,18,11,
01,2호선,219,삼성,U,19,23,55,100,65,41,43,44,50,45,53,52,61,75,52,40,53,50,23,15,
01,2호선,220,선릉(2),U,21,24,56,96,69,48,51,54,62,59,70,69,81,104,74,53,71,66,31,20,
01,2호선,221,역삼,U,23,23,47,76,54,46,47,54,64,64,75,77,94,129,90,63,84,81,36,22,
01,2호선,222,강남(2),U,27,22,41,64,44,42,47,57,69,69,87,88,111,142,104,80,116,117,51,32,
01,2호선,223,교대(2),U,27,21,41,65,40,44,47,54,68,68,88,92,112,155,114,89,125,136,63,35,
01,2호선,224,서초,U,26,21,39,58,37,40,46,55,68,68,89,94,116,162,116,91,129,140,63,35,
01,2호선,225,방배,U,28,21,40,57,36,39,45,54,67,68,91,93,118,167,120,93,129,141,66,37,
01,2호선,226,사당(2),U,26,22,39,62,38,39,39,50,61,63,83,87,111,144,114,85,118,141,73,39,
01,2호선,227,낙성대,U,28,23,40,63,38,36,38,49,58,63,81,87,107,136,108,82,108,131,67,35,
01,2호선,228,서울대입구,U,20,23,40,64,36,31,35,46,54,58,74,82,102,123,97,73,97,117,61,31,
01,2호선,229,봉천,U,26,25,43,68,37,31,35,46,54,57,72,79,99,119,93,69,90,113,61,28,
01,2호선,230,신림,U,40,30,53,83,44,32,35,46,54,54,65,71,91,100,77,58,73,93,51,22,
01,2호선,231,신대방,U,52,33,58,93,49,34,37,49,53,56,62,71,90,97,76,55,68,85,47,19,
01,2호선,232,구로디지털단지,U,72,39,67,91,49,35,38,52,57,57,62,72,90,107,80,56,66,83,46,17,
01,2호선,233,대림(2),U,91,48,69,98,53,37,40,53,57,56,58,68,86,98,73,50,58,68,40,14,
01,2호선,234,신도림(2),U,24,36,74,132,74,63,58,57,62,55,51,52,58,78,64,45,53,53,45,22,
01,2호선,235,문래,U,24,37,70,126,75,60,58,56,61,54,50,55,59,79,65,43,54,52,44,20,
01,2호선,236,영등포구청(2),U,29,34,74,130,72,60,56,56,57,53,46,50,52,71,58,37,46,43,36,17,
01,2호선,237,당산(2),U,29,35,75,130,78,62,60,61,61,53,47,52,55,77,60,36,43,42,35,15,
01,2호선,238,합정(2),U,25,31,64,114,69,55,53,55,53,46,39,43,45,56,43,26,30,29,27,10,
01,2호선,239,홍대입구(2),U,21,29,66,117,66,54,53,51,50,45,38,39,40,48,34,23,32,34,32,10,
01,2호선,240,신촌,U,22,29,66,115,58,46,48,46,49,43,39,40,41,46,32,24,36,41,38,10,
01,2호선,241,이대입구,U,23,28,61,114,54,41,46,43,49,44,42,42,44,46,34,26,38,42,37,10,
01,2호선,242,아현,U,20,28,61,118,55,41,47,44,49,44,43,43,45,46,33,26,38,42,38,10,
01,2호선,243,충정로(2),U,21,28,59,110,53,40,47,44,49,44,44,44,45,47,35,24,37,40,37,10,
01,2호선,201,시청(2),U,19,25,49,94,48,36,43,41,45,42,44,44,46,53,39,26,39,42,36,10,
01,2호선,202,을지입구,U,15,19,34,66,37,31,39,37,45,43,46,47,49,69,50,36,52,52,42,12,
01,2호선,203,을지3가(2),U,13,18,27,54,31,28,34,33,40,39,41,44,47,67,49,35,50,51,44,12,
01,2호선,204,을지4가(2),U,13,16,25,49,27,26,31,31,39,38,41,43,47,69,50,35,48,50,42,12,
01,2호선,205,동대문역사문화공원(2),U,15,24,34,65,34,29,35,37,45,43,47,50,55,70,52,34,47,50,41,12,
01,2호선,206,신당(2),U,18,25,37,71,37,30,36,40,44,45,48,50,57,68,52,33,44,48,41,14,
01,2호선,207,상왕십리,U,20,24,39,72,37,30,36,40,44,44,48,50,57,68,51,32,43,47,39,13,
01,2호선,208,왕십리(2),U,22,23,39,78,38,31,36,37,42,42,43,43,49,57,42,26,35,40,33,12,
