line,name,between,accumulated
2,시청,0,0
2,을지로입구,0.7,0.7
2,을지로3가,0.8,1.5
2,을지로4가,0.6,2.1
2,동대문역사문화공원(DDP),1,3.1
2,신 당,0.9,4
2,상왕십리,0.9,4.9
2,왕 십 리(성동구청),0.8,5.7
2,한 양 대,1,6.7
2,뚝 섬,1.1,7.8
2,성 수,0.8,8.6
2,건대입구,1.2,9.8
2,구 의(광진구청),1.6,11.4
2,강변(동서울터미널),0.9,12.3
2,잠실나루,1.8,14.1
2,잠실(송파구청),1,15.1
2,잠실새내,1.2,16.3
2,종합운동장,1.2,17.5
2,삼성(무역센터),1,18.5
2,선릉,1.3,19.8
2,역삼,1.2,21
2,강남,0.8,21.8
2,"교대(법원, 검찰청)",1.2,23
2,서초,0.7,23.7
2,방배,1.7,25.4
2,사당,1.6,27
2,낙성대(강감찬),1.7,28.7
2,서울대입구(관악구청),1,29.7
2,봉천,1,30.7
2,신림,1.1,31.8
2,신대방,1.8,33.6
2,구로디지털단지,1.1,34.7
2,대림(구로구청),1.1,35.8
2,신도림,1.8,37.6
2,문래,1.2,38.8
2,영등포구청,0.9,39.7
2,당산,1.1,40.8
2,합정,2,42.8
2,홍대입구,1.1,43.9
2,신촌,1.3,45.2
2,이대,0.8,46
2,아현,0.9,46.9
2,충정로(경기대입구),0.8,47.7
2,시청,1.1,48.8
2,용답,2.3,51.1
2,신답,1,52.1
2,용두(동대문구청),0.9,53
2,신설동,1.2,54.2
2,도림천,1,55.2
2,양천구청,1.7,56.9
2,신정네거리,1.9,58.8
2,까치산,1.4,60.2
3,지축,0,0
3,구파발,1.5,1.5
3,연신내,2,3.5
3,불광,1.3,4.8
3,녹번,1.1,5.9
3,홍제,1.6,7.5
3,무악재,0.9,8.4
3,독립문,1.1,9.5
3,경복궁(정부서울청사),1.6,11.1
3,안국,1.1,12.2
3,종로3가,1,13.2
3,을지로3가,0.6,13.8
3,충무로,0.7,14.5
3,동대입구,0.9,15.4
3,약수,0.7,16.1
3,금호,0.8,16.9
3,옥수,0.8,17.7
3,압구정,2.1,19.8
3,신사,1.5,21.3
3,잠원,0.9,22.2
3,고속터미널,1.2,23.4
3,"교대(법원, 검찰청)",1.6,25
