Line, Station, Station Code, FR Code,
7,상봉,2722,720,
7,도봉산,2712,710,
7,노원,2715,713,
7,군자,2727,725,
7,건대입구,2729,727,
7,고속터미널,2736,734,
7,총신대입구(이수),2738,736,
7,대림,2746,744,
7,가산디지털단지,2748,746,
7,온수,2752,750,
7,부평구청,2761,759,
7,강남구청,2732,730,
7,태릉입구,2719,717,
7,공릉,2718,716,
7,상도,2741,739,
7,장암,2711,709,
7,수락산,2713,711,
7,마들,2714,712,
7,중계,2716,714,
7,하계,2717,715,
7,먹골,2720,718,
7,중화,2721,719,
7,면목,2723,721,
7,사가정,2724,722,
7,용마산,2725,723,
7,중곡,2726,724,
7,어린이대공원,2728,726,
7,뚝섬유원지,2730,728,
7,청담,2731,729,
7,학동,2733,731,
7,논현,2734,732,
7,반포,2735,733,
7,내방,2737,735,
7,남성,2739,737,
7,숭실대입구,2740,738,
7,장승배기,2742,740,
7,신대방삼거리,2743,741,
7,보라매,2744,742,
7,신풍,2745,743,
7,남구로,2747,745,
7,철산,2749,747,
7,광명사거리,2750,748,
7,천왕,2751,749,
7,까치울,2753,751,
7,부천종합운동장,2754,752,
7,춘의,2755,753,
7,신중동,2756,754,
7,부천시청,2757,755,
7,상동,2758,756,
7,삼산체육관,2759,757,
7,굴포천,2760,758,
