호선, 역 코드, 역이름, 방면,U/D,  환승 호선, 환승 후 방면, 빠른 환승 칸, 출입문 위치,
2호선,220,선릉,내선(강남)방면,U,5호선,한티방면,6,2,
2호선,220,선릉,내선(강남)방면,U,5호선,선정릉방면,5,2,
2호선,220,선릉,외선(잠실)방면,D,5호선,한티방면,5,2,
2호선,220,선릉,외선(잠실)방면,D,5호선,선정릉방면,6,3,
분당선,215,선릉,왕십리방면,D,2호선,외선(삼성)방면,6,3,
분당선,215,선릉,왕십리방면,D,2호선,내선(역삼)방면,5,1,
분당선,215,선릉,수원방면,D,2호선,외선(삼성)방면,1,2,
분당선,215,선릉,수원방면,D,2호선,내선(역삼)방면,2,3,
2호선,222,강남,내선(교대)방면,U,7호선,양재방면,6,3,
2호선,222,강남,외선(선릉)방면,D,7호선,양재방면,5,2,
신분당선,687,강남,강남방면,D,2호선,내선(교대)방면,1,1,
신분당선,687,강남,강남방면,D,2호선,외선(역삼)방면,1,1,
2호선,223,교대,내선(사당)방면,U,3호선,고속터미널방면,1,1,
2호선,223,교대,내선(사당)방면,U,3호선,남부터미널방면,1,1,
2호선,223,교대,외선(강남)방면,D,3호선,고속터미널방면,10,4,
2호선,223,교대,외선(강남)방면,D,3호선,남부터미널방면,10,4,
3호선,340,교대,대화방면,D,2호선,강남방면,9,3,
3호선,340,교대,수서방면,D,2호선,내선(서초)방면,8,4,
3호선,340,교대,수서방면,D,2호선,강남방면,2,1,
3호선,340,교대,대화방면,D,2호선,내선(서초)방면,3,2,
4호선,433,사당,오이도방면,D,2호선,외선(방배)방면,1,1,
4호선,433,사당,당고개방면,D,2호선,내선(낙성대)방면,4,2,
4호선,433,사당,당고개방면,D,2호선,외선(방배)방면,10,4,
4호선,433,사당,오이도방면,D,2호선,내선(낙성대)방면,7,3,
2호선,226,사당,내선(대림)방면,U,4호선,총신대입구방면,6,1,
2호선,226,사당,내선(대림)방면,U,4호선,남태령방면,6,1,
2호선,226,사당,외선(교대)방면,D,4호선,총신대입구방면,5,3,
2호선,226,사당,외선(교대)방면,D,4호선,남태령방면,5,3,
9호선,930,종합운동장,개화방면,D,2호선,외선(건대입구)방면,3,4,
9호선,930,종합운동장,개화방면,D,2호선,내선(선릉)방면,3,4,
2호선,218,종합운동장,내선(선릉)방면,U,9호선,개화방면,9,1,
2호선,218,종합운동장,외선(건대입구)방면,D,9호선,개화방면,3,1,
2호선,216,잠실,내선(선릉)방면,U,8호선,몽촌토성방면,10,4,
2호선,216,잠실,내선(선릉)방면,U,8호선,석촌방면,10,4,
2호선,216,잠실,외선(건대입구)방면,D,8호선,몽촌토성방면,1,1,
2호선,216,잠실,외선(건대입구)방면,D,8호선,석촌방면,1,1,
8호선,814,잠실,암사방면,D,2호선,내선(신천)방면,6,4,
8호선,814,잠실,암사방면,D,2호선,외선(잠실나루)방면,6,4,
