Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,역삼,221,U,02,054430,054400,신설동,
2,서울 2호선,역삼,221,U,02,055800,055730,신설동,
3,서울 2호선,역삼,221,U,02,060400,060330,신설동,
4,서울 2호선,역삼,221,U,02,061130,061100,신설동,
5,서울 2호선,역삼,221,U,02,061730,061700,신설동,
6,서울 2호선,역삼,221,U,02,062300,062230,신설동,
7,서울 2호선,역삼,221,U,02,063000,062930,신설동,
8,서울 2호선,역삼,221,U,02,063700,063630,신설동,
9,서울 2호선,역삼,221,U,02,064130,064100,신설동,
10,서울 2호선,역삼,221,U,02,064700,064630,신설동,
11,서울 2호선,역삼,221,U,02,065200,065130,신설동,
12,서울 2호선,역삼,221,U,02,065800,065730,신설동,
13,서울 2호선,역삼,221,U,02,070530,070500,신설동,
14,서울 2호선,역삼,221,U,02,071100,071030,신설동,
15,서울 2호선,역삼,221,U,02,071600,071530,신설동,
16,서울 2호선,역삼,221,U,02,072000,071930,신설동,
17,서울 2호선,역삼,221,U,02,072400,072330,신설동,
18,서울 2호선,역삼,221,U,02,072800,072730,신설동,
19,서울 2호선,역삼,221,U,02,073200,073130,신설동,
20,서울 2호선,역삼,221,U,02,073600,073530,신설동,
21,서울 2호선,역삼,221,U,02,074100,074030,신설동,
22,서울 2호선,역삼,221,U,02,074600,074530,신설동,
23,서울 2호선,역삼,221,U,02,075200,075130,신설동,
24,서울 2호선,역삼,221,U,02,075600,075530,신설동,
25,서울 2호선,역삼,221,U,02,080000,075930,신설동,
26,서울 2호선,역삼,221,U,02,080400,080330,신설동,
27,서울 2호선,역삼,221,U,02,080830,080800,신설동,
28,서울 2호선,역삼,221,U,02,081600,081530,신설동,
29,서울 2호선,역삼,221,U,02,082000,081930,신설동,
30,서울 2호선,역삼,221,U,02,082500,082430,신설동,
31,서울 2호선,역삼,221,U,02,082930,082900,신설동,
32,서울 2호선,역삼,221,U,02,083430,083400,신설동,
33,서울 2호선,역삼,221,U,02,084000,083930,신설동,
34,서울 2호선,역삼,221,U,02,084400,084330,신설동,
35,서울 2호선,역삼,221,U,02,084800,084730,신설동,
36,서울 2호선,역삼,221,U,02,085200,085130,신설동,
37,서울 2호선,역삼,221,U,02,085600,085530,신설동,
38,서울 2호선,역삼,221,U,02,090000,085930,신설동,
39,서울 2호선,역삼,221,U,02,090400,090330,신설동,
40,서울 2호선,역삼,221,U,02,090800,090730,신설동,
41,서울 2호선,역삼,221,U,02,091300,091230,신설동,
42,서울 2호선,역삼,221,U,02,091730,091700,신설동,
43,서울 2호선,역삼,221,U,02,092030,092000,신설동,
44,서울 2호선,역삼,221,U,02,092300,092230,신설동,
45,서울 2호선,역삼,221,U,02,092800,092730,신설동,
46,서울 2호선,역삼,221,U,02,093100,093030,신설동,
47,서울 2호선,역삼,221,U,02,093330,093300,신설동,
48,서울 2호선,역삼,221,U,02,093800,093730,신설동,
49,서울 2호선,역삼,221,U,02,094300,094230,신설동,
50,서울 2호선,역삼,221,U,02,094730,094700,신설동,
51,서울 2호선,역삼,221,U,02,095130,095100,신설동,
52,서울 2호선,역삼,221,U,02,095500,095430,신설동,
53,서울 2호선,역삼,221,U,02,100130,100100,신설동,
54,서울 2호선,역삼,221,U,02,100800,100730,신설동,
55,서울 2호선,역삼,221,U,02,101300,101230,신설동,
56,서울 2호선,역삼,221,U,02,101730,101700,신설동,
57,서울 2호선,역삼,221,U,02,102300,102230,신설동,
58,서울 2호선,역삼,221,U,02,102830,102800,신설동,
59,서울 2호선,역삼,221,U,02,103400,103330,신설동,
60,서울 2호선,역삼,221,U,02,103630,103600,신설동,
61,서울 2호선,역삼,221,U,02,103930,103900,신설동,
62,서울 2호선,역삼,221,U,02,104500,104430,신설동,
63,서울 2호선,역삼,221,U,02,105030,105000,신설동,
64,서울 2호선,역삼,221,U,02,105600,105530,신설동,
65,서울 2호선,역삼,221,U,02,110030,110000,신설동,
66,서울 2호선,역삼,221,U,02,110430,110400,신설동,
67,서울 2호선,역삼,221,U,02,110830,110800,신설동,
68,서울 2호선,역삼,221,U,02,111200,111130,신설동,
69,서울 2호선,역삼,221,U,02,111600,111530,신설동,
70,서울 2호선,역삼,221,U,02,112130,112100,신설동,
71,서울 2호선,역삼,221,U,02,112600,112530,신설동,
72,서울 2호선,역삼,221,U,02,113100,113030,신설동,
73,서울 2호선,역삼,221,U,02,113600,113530,신설동,
74,서울 2호선,역삼,221,U,02,114100,114030,신설동,
75,서울 2호선,역삼,221,U,02,114600,114530,신설동,
76,서울 2호선,역삼,221,U,02,115100,115030,신설동,
77,서울 2호선,역삼,221,U,02,115630,115600,신설동,
78,서울 2호선,역삼,221,U,02,120200,120130,신설동,
79,서울 2호선,역삼,221,U,02,120730,120700,신설동,
80,서울 2호선,역삼,221,U,02,121300,121230,신설동,
81,서울 2호선,역삼,221,U,02,121830,121800,신설동,
82,서울 2호선,역삼,221,U,02,122400,122330,신설동,
83,서울 2호선,역삼,221,U,02,122800,122730,신설동,
84,서울 2호선,역삼,221,U,02,123200,123130,신설동,
85,서울 2호선,역삼,221,U,02,123630,123600,신설동,
86,서울 2호선,역삼,221,U,02,124000,123930,신설동,
87,서울 2호선,역삼,221,U,02,124400,124330,신설동,
88,서울 2호선,역삼,221,U,02,124900,124830,신설동,
89,서울 2호선,역삼,221,U,02,125400,125330,신설동,
90,서울 2호선,역삼,221,U,02,125900,125830,신설동,
91,서울 2호선,역삼,221,U,02,130400,130330,신설동,
92,서울 2호선,역삼,221,U,02,130900,130830,신설동,
93,서울 2호선,역삼,221,U,02,131400,131330,신설동,
94,서울 2호선,역삼,221,U,02,131900,131830,신설동,
95,서울 2호선,역삼,221,U,02,132430,132400,신설동,
96,서울 2호선,역삼,221,U,02,133000,132930,신설동,
97,서울 2호선,역삼,221,U,02,133530,133500,신설동,
98,서울 2호선,역삼,221,U,02,134100,134030,신설동,
99,서울 2호선,역삼,221,U,02,134630,134600,신설동,
100,서울 2호선,역삼,221,U,02,135200,135130,신설동,
101,서울 2호선,역삼,221,U,02,135730,135700,신설동,
102,서울 2호선,역삼,221,U,02,140000,135930,신설동,
103,서울 2호선,역삼,221,U,02,140400,140330,신설동,
104,서울 2호선,역삼,221,U,02,140900,140830,신설동,
105,서울 2호선,역삼,221,U,02,141400,141330,신설동,
106,서울 2호선,역삼,221,U,02,141730,141700,신설동,
107,서울 2호선,역삼,221,U,02,142230,142200,신설동,
108,서울 2호선,역삼,221,U,02,142700,142630,신설동,
109,서울 2호선,역삼,221,U,02,143130,143100,신설동,
110,서울 2호선,역삼,221,U,02,143600,143530,신설동,
111,서울 2호선,역삼,221,U,02,144130,144100,신설동,
112,서울 2호선,역삼,221,U,02,144700,144630,신설동,
113,서울 2호선,역삼,221,U,02,145230,145200,신설동,
114,서울 2호선,역삼,221,U,02,145800,145730,신설동,
115,서울 2호선,역삼,221,U,02,150400,150330,신설동,
116,서울 2호선,역삼,221,U,02,150900,150830,신설동,
117,서울 2호선,역삼,221,U,02,151500,151430,신설동,
118,서울 2호선,역삼,221,U,02,152000,151930,신설동,
119,서울 2호선,역삼,221,U,02,152530,152500,신설동,
120,서울 2호선,역삼,221,U,02,153200,153130,신설동,
121,서울 2호선,역삼,221,U,02,153630,153600,신설동,
122,서울 2호선,역삼,221,U,02,154200,154130,신설동,
123,서울 2호선,역삼,221,U,02,154500,154430,신설동,
124,서울 2호선,역삼,221,U,02,155000,154930,신설동,
125,서울 2호선,역삼,221,U,02,155500,155430,신설동,
126,서울 2호선,역삼,221,U,02,155800,155730,신설동,
127,서울 2호선,역삼,221,U,02,160200,160130,신설동,
128,서울 2호선,역삼,221,U,02,160900,160830,신설동,
129,서울 2호선,역삼,221,U,02,161400,161330,신설동,
130,서울 2호선,역삼,221,U,02,161930,161900,신설동,
131,서울 2호선,역삼,221,U,02,162530,162500,신설동,
132,서울 2호선,역삼,221,U,02,163030,163000,신설동,
133,서울 2호선,역삼,221,U,02,163500,163430,신설동,
134,서울 2호선,역삼,221,U,02,163900,163830,신설동,
135,서울 2호선,역삼,221,U,02,164300,164230,신설동,
136,서울 2호선,역삼,221,U,02,164700,164630,신설동,
137,서울 2호선,역삼,221,U,02,165100,165030,신설동,
138,서울 2호선,역삼,221,U,02,165500,165430,신설동,
139,서울 2호선,역삼,221,U,02,165930,165900,신설동,
140,서울 2호선,역삼,221,U,02,170330,170300,신설동,
141,서울 2호선,역삼,221,U,02,170700,170630,신설동,
142,서울 2호선,역삼,221,U,02,171100,171030,신설동,
143,서울 2호선,역삼,221,U,02,171400,171330,신설동,
144,서울 2호선,역삼,221,U,02,171830,171800,신설동,
145,서울 2호선,역삼,221,U,02,172230,172200,신설동,
146,서울 2호선,역삼,221,U,02,172600,172530,신설동,
147,서울 2호선,역삼,221,U,02,173000,172930,신설동,
148,서울 2호선,역삼,221,U,02,173400,173330,신설동,
149,서울 2호선,역삼,221,U,02,173800,173730,신설동,
150,서울 2호선,역삼,221,U,02,174200,174130,신설동,
151,서울 2호선,역삼,221,U,02,174600,174530,신설동,
152,서울 2호선,역삼,221,U,02,175000,174930,신설동,
153,서울 2호선,역삼,221,U,02,175400,175330,신설동,
154,서울 2호선,역삼,221,U,02,175800,175730,신설동,
155,서울 2호선,역삼,221,U,02,180200,180130,신설동,
156,서울 2호선,역삼,221,U,02,180600,180530,신설동,
157,서울 2호선,역삼,221,U,02,181000,180930,신설동,
158,서울 2호선,역삼,221,U,02,181400,181330,신설동,
159,서울 2호선,역삼,221,U,02,181800,181730,신설동,
160,서울 2호선,역삼,221,U,02,182200,182130,신설동,
161,서울 2호선,역삼,221,U,02,182600,182530,신설동,
162,서울 2호선,역삼,221,U,02,183000,182930,신설동,
