Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,강남,222,D,02,053530,053500,까치산,
2,서울 2호선,강남,222,D,02,055200,055130,까치산,
3,서울 2호선,강남,222,D,02,060200,060130,까치산,
4,서울 2호선,강남,222,D,02,060800,060730,까치산,
5,서울 2호선,강남,222,D,02,061400,061330,까치산,
6,서울 2호선,강남,222,D,02,062000,061930,까치산,
7,서울 2호선,강남,222,D,02,062600,062530,까치산,
8,서울 2호선,강남,222,D,02,063100,063030,까치산,
9,서울 2호선,강남,222,D,02,063600,063530,까치산,
10,서울 2호선,강남,222,D,02,064000,063930,까치산,
11,서울 2호선,강남,222,D,02,064500,064430,까치산,
12,서울 2호선,강남,222,D,02,065000,064930,까치산,
13,서울 2호선,강남,222,D,02,065600,065530,까치산,
14,서울 2호선,강남,222,D,02,070130,070100,까치산,
15,서울 2호선,강남,222,D,02,070700,070630,까치산,
16,서울 2호선,강남,222,D,02,071200,071130,까치산,
17,서울 2호선,강남,222,D,02,071600,071530,까치산,
18,서울 2호선,강남,222,D,02,072000,071930,까치산,
19,서울 2호선,강남,222,D,02,072400,072330,까치산,
20,서울 2호선,강남,222,D,02,072800,072730,까치산,
21,서울 2호선,강남,222,D,02,073200,073130,까치산,
22,서울 2호선,강남,222,D,02,073630,073600,까치산,
23,서울 2호선,강남,222,D,02,074100,074030,까치산,
24,서울 2호선,강남,222,D,02,074600,074530,까치산,
25,서울 2호선,강남,222,D,02,075200,075130,까치산,
26,서울 2호선,강남,222,D,02,075730,075700,까치산,
27,서울 2호선,강남,222,D,02,080300,080230,까치산,
28,서울 2호선,강남,222,D,02,080900,080830,까치산,
29,서울 2호선,강남,222,D,02,081300,081230,까치산,
30,서울 2호선,강남,222,D,02,081700,081630,까치산,
31,서울 2호선,강남,222,D,02,082100,082030,까치산,
32,서울 2호선,강남,222,D,02,082500,082430,까치산,
33,서울 2호선,강남,222,D,02,082900,082830,까치산,
34,서울 2호선,강남,222,D,02,083300,083230,까치산,
35,서울 2호선,강남,222,D,02,083700,083630,까치산,
36,서울 2호선,강남,222,D,02,084100,084030,까치산,
37,서울 2호선,강남,222,D,02,084500,084430,까치산,
38,서울 2호선,강남,222,D,02,084900,084830,까치산,
39,서울 2호선,강남,222,D,02,085300,085230,까치산,
40,서울 2호선,강남,222,D,02,085700,085630,까치산,
41,서울 2호선,강남,222,D,02,090100,090030,까치산,
42,서울 2호선,강남,222,D,02,090500,090430,까치산,
43,서울 2호선,강남,222,D,02,090900,090830,까치산,
44,서울 2호선,강남,222,D,02,091300,091230,까치산,
45,서울 2호선,강남,222,D,02,091700,091630,까치산,
46,서울 2호선,강남,222,D,02,092100,092030,까치산,
47,서울 2호선,강남,222,D,02,092500,092430,까치산,
48,서울 2호선,강남,222,D,02,092800,092730,까치산,
49,서울 2호선,강남,222,D,02,093230,093200,까치산,
50,서울 2호선,강남,222,D,02,093700,093630,까치산,
51,서울 2호선,강남,222,D,02,094100,094030,까치산,
52,서울 2호선,강남,222,D,02,094500,094430,까치산,
53,서울 2호선,강남,222,D,02,095000,094930,까치산,
54,서울 2호선,강남,222,D,02,095500,095430,까치산,
55,서울 2호선,강남,222,D,02,100000,095930,까치산,
56,서울 2호선,강남,222,D,02,100500,100430,까치산,
57,서울 2호선,강남,222,D,02,101000,100930,까치산,
58,서울 2호선,강남,222,D,02,101500,101430,까치산,
59,서울 2호선,강남,222,D,02,102000,101930,까치산,
60,서울 2호선,강남,222,D,02,102500,102430,까치산,
61,서울 2호선,강남,222,D,02,103000,102930,까치산,
62,서울 2호선,강남,222,D,02,103500,103430,까치산,
63,서울 2호선,강남,222,D,02,104000,103930,까치산,
64,서울 2호선,강남,222,D,02,104500,104430,까치산,
